"Date","Value"
"2010","-5.2"
"2011","1"
"2012","-4.7"
"2013","-1"
"2014","-0.3"
"2015","-0.8"
"2016","-1.6"
"2017","-3.1"
"2018","-4.6"
"2019","-4.9"
"2020","-4.9"
"2021","-7.2"
"2022","-9.2"
"2023","-7"
