"County","CountyCode","Year","Total","Male","Female"
"Suceava","36","2011","4.9","5.2","4.5"
"Suceava","36","2012","5.5","6.2","4.7"
"Suceava","36","2013","6.5","7.1","5.8"
"Suceava","36","2014","6.7","7.4","5.9"
"Suceava","36","2015","6.5","7","5.8"
"Suceava","36","2016","6.2","6.7","5.7"
"Suceava","36","2017","5.4","5.8","5"
"Suceava","36","2018","5.1","5.3","4.9"
"Suceava","36","2019","4.8","4.9","4.6"
"Suceava","36","2020","5.1","5","5.3"
"Suceava","36","2021","5.4","5.5","5.3"
"Suceava","36","2022","5.5","5.7","5.3"
"Suceava","36","2023","5.6","5.8","5.5"
"Suceava","36","2024","6.6","7","6.2"
"Teleorman","37","2008","8.1","9","7.2"
"Teleorman","37","2009","11.5","14.1","8.9"
"Teleorman","37","2010","10.9","13.2","8.4"
"Teleorman","37","2011","9.1","11","7.2"
"Teleorman","37","2012","9.6","11.8","7.4"
"Teleorman","37","2013","10.8","12.9","8.5"
"Teleorman","37","2014","11.2","13.4","8.8"
"Teleorman","37","2015","11.6","13.8","9.3"
"Teleorman","37","2016","10.8","13.2","8.2"
"Teleorman","37","2017","10.1","12.3","7.8"
"Teleorman","37","2018","7.8","9.1","6.5"
"Teleorman","37","2019","6.3","7.1","5.4"
"Teleorman","37","2020","6.6","7.2","5.9"
"Teleorman","37","2021","8","8.7","7.1"
"Teleorman","37","2022","8.3","8.8","7.8"
"Teleorman","37","2023","7.5","7.9","7"
"Teleorman","37","2024","9.6","10.7","8.3"
"Timis","38","2008","1.6","1.4","1.9"
"Timis","38","2009","4.5","4.2","5"
"Timis","38","2010","3.7","3.7","3.8"
"Timis","38","2011","1.9","1.7","2.1"
"Timis","38","2012","2","1.8","2.2"
"Timis","38","2013","1.9","1.7","2.1"
"Timis","38","2014","1.6","1.4","1.8"
"Timis","38","2015","1.3","1.1","1.5"
"Timis","38","2016","1.1","1","1.3"
"Timis","38","2017","1","0.9","1.2"
"Timis","38","2018","0.8","0.6","1"
"Timis","38","2019","0.8","0.6","1"
"Timis","38","2020","1.3","1","1.6"
"Timis","38","2021","0.8","0.6","1"
"Timis","38","2022","0.8","0.7","0.9"
"Timis","38","2023","0.9","0.7","1"
"Timis","38","2024","1.1","0.9","1.3"
"TOTAL","","2008","4.4","4.4","4.4"
"TOTAL","","2009","7.8","8.4","7.1"
"TOTAL","","2010","7","7.6","6.3"
"TOTAL","","2011","5.2","5.5","4.9"
"TOTAL","","2012","5.4","5.9","4.9"
"TOTAL","","2013","5.7","6.2","5.1"
"TOTAL","","2014","5.4","5.9","4.8"
"TOTAL","","2015","5","5.3","4.6"
"TOTAL","","2016","4.8","5.1","4.4"
"TOTAL","","2017","4","4.2","3.8"
"TOTAL","","2018","3.3","3.4","3.3"
"TOTAL","","2019","2.9","2.9","3"
"TOTAL","","2020","3.4","3.2","3.6"
"TOTAL","","2021","3","2.9","3.1"
"TOTAL","","2022","3","2.9","3.1"
"TOTAL","","2023","2.9","2.8","3.1"
"TOTAL","","2024","3.3","3.2","3.4"
"Tulcea","39","2008","4.4","4.7","4.1"
"Tulcea","39","2009","8.9","9.3","8.4"
"Tulcea","39","2010","8.1","8.7","7.4"
"Tulcea","39","2011","5.8","6.1","5.4"
"Tulcea","39","2012","5.9","6.4","5.3"
"Tulcea","39","2013","5.9","6.6","5.1"
"Tulcea","39","2014","5.5","6.2","4.7"
"Tulcea","39","2015","5.5","6.3","4.7"
"Tulcea","39","2016","5.4","6.2","4.4"
"Tulcea","39","2017","4.7","5.5","3.8"
"Tulcea","39","2018","3.7","4","3.4"
"Tulcea","39","2019","3.5","3.4","3.6"
"Tulcea","39","2020","3","3","3.1"
"Tulcea","39","2021","3.1","3","3.3"
"Tulcea","39","2022","4","3.9","4.1"
"Tulcea","39","2023","3.3","3.1","3.7"
"Tulcea","39","2024","3.8","3.4","4.4"
"Valcea","40","2008","4.7","4.1","5.3"
"Valcea","40","2009","7.9","8.3","7.6"
"Valcea","40","2010","7.7","7.8","7.6"
"Valcea","40","2011","5.2","5.2","5.3"
"Valcea","40","2012","6.1","6.5","5.8"
"Valcea","40","2013","6.8","6.8","6.7"
"Valcea","40","2014","5.6","5.8","5.5"
"Valcea","40","2015","4.7","4.7","4.6"
"Valcea","40","2016","5","4.9","5.1"
"Valcea","40","2017","4.2","3.9","4.5"
"Valcea","40","2018","3.1","2.9","3.3"
"Valcea","40","2019","2.8","2.6","3.1"
"Valcea","40","2020","3.6","3.2","4"
"Valcea","40","2021","3.5","3.1","4"
"Valcea","40","2022","3.3","3","3.8"
"Valcea","40","2023","3.5","3.1","4.1"
"Valcea","40","2024","2.5","2.4","2.8"
"Vaslui","42","2008","10.2","12.6","7.8"
"Vaslui","42","2009","13.9","17","10.7"
"Vaslui","42","2010","11.8","15.2","8.5"
"Vaslui","42","2011","9.8","12.5","7.2"
"Vaslui","42","2012","10.1","12.9","7.4"
"Vaslui","42","2013","10.7","13.7","7.6"
"Vaslui","42","2014","11.4","14.4","8.2"
"Vaslui","42","2015","11.2","14","8.1"
"Vaslui","42","2016","12","14.8","8.9"
"Vaslui","42","2017","10.4","12.4","8.1"
"Vaslui","42","2018","8.6","10","7"
"Vaslui","42","2019","7.5","8.7","6.3"
"Vaslui","42","2020","7.4","8.3","6.6"
"Vaslui","42","2021","8.6","9.7","7.5"
"Vaslui","42","2022","8.4","9.3","7.3"
"Vaslui","42","2023","7.9","8.8","7"
"Vaslui","42","2024","9.2","10.6","7.8"
"Vrancea","41","2008","4.4","5.1","3.7"
"Vrancea","41","2009","7.4","8.8","5.9"
"Vrancea","41","2010","7.4","8.8","6"
"Vrancea","41","2011","5.5","6.3","4.8"
"Vrancea","41","2012","5.5","6.5","4.6"
"Vrancea","41","2013","5.9","6.9","4.8"
"Vrancea","41","2014","6","7.2","4.8"
"Vrancea","41","2015","5.5","6.4","4.6"
"Vrancea","41","2016","5.8","6.5","4.9"
"Vrancea","41","2017","5","5.7","4.3"
"Vrancea","41","2018","4.1","4.4","3.7"
"Vrancea","41","2019","3.6","3.9","3.3"
"Vrancea","41","2020","4.2","4.5","3.9"
"Vrancea","41","2021","4.6","4.9","4.3"
"Vrancea","41","2022","4.3","4.5","4.1"
"Vrancea","41","2023","2.5","2.5","2.6"
"Vrancea","41","2024","2.2","2","2.4"
