?"Activitatea","Tev?kenys?g","Activity","Year","Value"
"Fabricarea calculatoarelor, altor produse electronice, optice ?i electrice","Sz?m?t?g?pek, egy?b elektronikus, optikai ?s elektromos term?kek gy?rt?sa","Manufacture of computers, other electronic, optical, and electrical products","2023","3358"
"Ma?ini, utilaje ?i echipamente","G?pek, berendez?sek ?s felszerel?sek gy?rt?sa","Machinery and equipment manufacturing","2013","1369"
"Ma?ini, utilaje ?i echipamente","G?pek, berendez?sek ?s felszerel?sek gy?rt?sa","Machinery and equipment manufacturing","2014","1526"
"Ma?ini, utilaje ?i echipamente","G?pek, berendez?sek ?s felszerel?sek gy?rt?sa","Machinery and equipment manufacturing","2015","1703"
"Ma?ini, utilaje ?i echipamente","G?pek, berendez?sek ?s felszerel?sek gy?rt?sa","Machinery and equipment manufacturing","2016","1597"
"Ma?ini, utilaje ?i echipamente","G?pek, berendez?sek ?s felszerel?sek gy?rt?sa","Machinery and equipment manufacturing","2017","1715"
"Ma?ini, utilaje ?i echipamente","G?pek, berendez?sek ?s felszerel?sek gy?rt?sa","Machinery and equipment manufacturing","2018","1834"
"Ma?ini, utilaje ?i echipamente","G?pek, berendez?sek ?s felszerel?sek gy?rt?sa","Machinery and equipment manufacturing","2019","1925"
"Ma?ini, utilaje ?i echipamente","G?pek, berendez?sek ?s felszerel?sek gy?rt?sa","Machinery and equipment manufacturing","2020","1920"
"Ma?ini, utilaje ?i echipamente","G?pek, berendez?sek ?s felszerel?sek gy?rt?sa","Machinery and equipment manufacturing","2021","2288"
"Ma?ini, utilaje ?i echipamente","G?pek, berendez?sek ?s felszerel?sek gy?rt?sa","Machinery and equipment manufacturing","2022","2487"
"Ma?ini, utilaje ?i echipamente","G?pek, berendez?sek ?s felszerel?sek gy?rt?sa","Machinery and equipment manufacturing","2023","2457"
"Metalurgie","Koh?szat","Metallurgy","2013","2435"
"Metalurgie","Koh?szat","Metallurgy","2014","2823"
"Metalurgie","Koh?szat","Metallurgy","2015","2672"
"Metalurgie","Koh?szat","Metallurgy","2016","2898"
"Metalurgie","Koh?szat","Metallurgy","2017","3153"
"Metalurgie","Koh?szat","Metallurgy","2018","3163"
"Metalurgie","Koh?szat","Metallurgy","2019","3167"
"Metalurgie","Koh?szat","Metallurgy","2020","3191"
"Metalurgie","Koh?szat","Metallurgy","2021","3244"
"Metalurgie","Koh?szat","Metallurgy","2022","3380"
"Metalurgie","Koh?szat","Metallurgy","2023","3490"
"Mijloace de transport","K?zleked?si eszk?z?k","Means of transport","2013","3322"
"Mijloace de transport","K?zleked?si eszk?z?k","Means of transport","2014","2708"
"Mijloace de transport","K?zleked?si eszk?z?k","Means of transport","2015","3309"
"Mijloace de transport","K?zleked?si eszk?z?k","Means of transport","2016","4684"
"Mijloace de transport","K?zleked?si eszk?z?k","Means of transport","2017","5626"
"Mijloace de transport","K?zleked?si eszk?z?k","Means of transport","2018","5441"
"Mijloace de transport","K?zleked?si eszk?z?k","Means of transport","2019","5732"
"Mijloace de transport","K?zleked?si eszk?z?k","Means of transport","2020","6088"
"Mijloace de transport","K?zleked?si eszk?z?k","Means of transport","2021","6736"
"Mijloace de transport","K?zleked?si eszk?z?k","Means of transport","2022","7213"
"Mijloace de transport","K?zleked?si eszk?z?k","Means of transport","2023","7820"
"Prelucrare ?i?ei, produse chimice, cauciuc ?i mase plastice","K?olaj-feldolgoz?s, vegyi term?kek, gumi ?s m?anyag gy?rt?sa","Petroleum refining, chemical products, rubber, and plastics","2013","3687"
"Prelucrare ?i?ei, produse chimice, cauciuc ?i mase plastice","K?olaj-feldolgoz?s, vegyi term?kek, gumi ?s m?anyag gy?rt?sa","Petroleum refining, chemical products, rubber, and plastics","2014","3679"
"Prelucrare ?i?ei, produse chimice, cauciuc ?i mase plastice","K?olaj-feldolgoz?s, vegyi term?kek, gumi ?s m?anyag gy?rt?sa","Petroleum refining, chemical products, rubber, and plastics","2015","3882"
"Prelucrare ?i?ei, produse chimice, cauciuc ?i mase plastice","K?olaj-feldolgoz?s, vegyi term?kek, gumi ?s m?anyag gy?rt?sa","Petroleum refining, chemical products, rubber, and plastics","2016","4530"
"Prelucrare ?i?ei, produse chimice, cauciuc ?i mase plastice","K?olaj-feldolgoz?s, vegyi term?kek, gumi ?s m?anyag gy?rt?sa","Petroleum refining, chemical products, rubber, and plastics","2017","4884"
"Prelucrare ?i?ei, produse chimice, cauciuc ?i mase plastice","K?olaj-feldolgoz?s, vegyi term?kek, gumi ?s m?anyag gy?rt?sa","Petroleum refining, chemical products, rubber, and plastics","2018","5175"
"Prelucrare ?i?ei, produse chimice, cauciuc ?i mase plastice","K?olaj-feldolgoz?s, vegyi term?kek, gumi ?s m?anyag gy?rt?sa","Petroleum refining, chemical products, rubber, and plastics","2019","5217"
"Prelucrare ?i?ei, produse chimice, cauciuc ?i mase plastice","K?olaj-feldolgoz?s, vegyi term?kek, gumi ?s m?anyag gy?rt?sa","Petroleum refining, chemical products, rubber, and plastics","2020","5136"
"Prelucrare ?i?ei, produse chimice, cauciuc ?i mase plastice","K?olaj-feldolgoz?s, vegyi term?kek, gumi ?s m?anyag gy?rt?sa","Petroleum refining, chemical products, rubber, and plastics","2021","6993"
"Prelucrare ?i?ei, produse chimice, cauciuc ?i mase plastice","K?olaj-feldolgoz?s, vegyi term?kek, gumi ?s m?anyag gy?rt?sa","Petroleum refining, chemical products, rubber, and plastics","2022","6867"
"Prelucrare ?i?ei, produse chimice, cauciuc ?i mase plastice","K?olaj-feldolgoz?s, vegyi term?kek, gumi ?s m?anyag gy?rt?sa","Petroleum refining, chemical products, rubber, and plastics","2023","7311"
"Textile, confec?ii ?i piel?rie","Text?li?k, ruh?zat ?s b?r?ruk","Textiles, apparel, and leather goods","2013","793"
