?"County","CountyCode","Year","Total","Male","Female"
"Feminin","Braila","2005","4.8","3.7","2.8"
"Feminin","Braila","2006","3.7","2.8","3.5"
"Feminin","Braila","2007","2.8","3.5","6.5"
"Feminin","Braila","2008","3.5","6.5","7"
"Feminin","Braila","2009","6.5","7","4.8"
"Feminin","Braila","2010","7","4.8","5.2"
"Feminin","Braila","2011","4.8","5.2","5.4"
"Feminin","Braila","2012","5.2","5.4","5.8"
"Feminin","Braila","2013","5.4","5.8","5.8"
"Feminin","Braila","2014","5.8","5.8","5.6"
"Feminin","Braila","2015","5.8","5.6","4.1"
"Feminin","Braila","2016","5.6","4.1","3.6"
"Feminin","Braila","2017","4.1","3.6","3.2"
"Feminin","Braila","2018","3.6","3.2","4.1"
"Feminin","Braila","2019","3.2","4.1","3.1"
"Feminin","Braila","2020","4.1","3.1","3.1"
"Feminin","Braila","2021","3.1","3.1","undefined"
"Feminin","Braila","2022","3.1","undefined","undefined"
"Feminin","Buzau","2000","11.2","10.6","7.5"
"Feminin","Buzau","2001","10.6","7.5","6.6"
"Feminin","Buzau","2002","7.5","6.6","5.9"
"Feminin","Buzau","2003","6.6","5.9","6.4"
"Feminin","Buzau","2004","5.9","6.4","6.3"
"Feminin","Buzau","2005","6.4","6.3","5.1"
"Feminin","Buzau","2006","6.3","5.1","5.6"
"Feminin","Buzau","2007","5.1","5.6","8.4"
"Feminin","Buzau","2008","5.6","8.4","8.1"
"Feminin","Buzau","2009","8.4","8.1","6.7"
"Feminin","Buzau","2010","8.1","6.7","6.3"
"Feminin","Buzau","2011","6.7","6.3","6.8"
"Feminin","Buzau","2012","6.3","6.8","7.6"
"Feminin","Buzau","2013","6.8","7.6","8.2"
"Feminin","Buzau","2014","7.6","8.2","8.3"
"Feminin","Buzau","2015","8.2","8.3","7.2"
"Feminin","Buzau","2016","8.3","7.2","6.2"
"Feminin","Buzau","2017","7.2","6.2","5.8"
"Feminin","Buzau","2018","6.2","5.8","7"
"Feminin","Buzau","2019","5.8","7","5.3"
"Feminin","Buzau","2020","7","5.3","5.1"
"Feminin","Buzau","2021","5.3","5.1","undefined"
"Feminin","Buzau","2022","5.1","undefined","undefined"
"Feminin","Constanta","2000","12.5","11.6","9.6"
"Feminin","Constanta","2001","11.6","9.6","8"
"Feminin","Constanta","2002","9.6","8","7.3"
"Feminin","Constanta","2003","8","7.3","6.8"
"Feminin","Constanta","2004","7.3","6.8","5.7"
"Feminin","Constanta","2005","6.8","5.7","5"
"Feminin","Constanta","2006","5.7","5","4.7"
"Feminin","Constanta","2007","5","4.7","8.1"
"Feminin","Constanta","2008","4.7","8.1","7.2"
"Feminin","Constanta","2009","8.1","7.2","5.5"
"Feminin","Constanta","2010","7.2","5.5","5.6"
"Feminin","Constanta","2011","5.5","5.6","5.5"
"Feminin","Constanta","2012","5.6","5.5","4.8"
"Feminin","Constanta","2013","5.5","4.8","4.9"
"Feminin","Constanta","2014","4.8","4.9","4.4"
"Feminin","Constanta","2015","4.9","4.4","4.3"
"Feminin","Constanta","2016","4.4","4.3","3.9"
"Feminin","Constanta","2017","4.3","3.9","3.7"
"Feminin","Constanta","2018","3.9","3.7","4"
"Feminin","Constanta","2019","3.7","4","3.4"
"Feminin","Constanta","2020","4","3.4","3.3"
"Feminin","Constanta","2021","3.4","3.3","undefined"
"Feminin","Constanta","2022","3.3","undefined","undefined"
"Feminin","Galati","2000","14.3","11.9","12.9"
"Feminin","Galati","2001","11.9","12.9","10.2"
"Feminin","Galati","2002","12.9","10.2","8.4"
"Feminin","Galati","2003","10.2","8.4","7.7"
"Feminin","Galati","2004","8.4","7.7","6.4"
"Feminin","Galati","2005","7.7","6.4","5.6"
"Feminin","Galati","2006","6.4","5.6","6.3"
"Feminin","Galati","2007","5.6","6.3","10.1"
"Feminin","Galati","2008","6.3","10.1","9.2"
"Feminin","Galati","2009","10.1","9.2","7.1"
"Feminin","Galati","2010","9.2","7.1","7.6"
"Feminin","Galati","2011","7.1","7.6","7.9"
"Feminin","Galati","2012","7.6","7.9","8.2"
"Feminin","Galati","2013","7.9","8.2","8"
"Feminin","Galati","2014","8.2","8","8.8"
"Feminin","Galati","2015","8","8.8","7.2"
"Feminin","Galati","2016","8.8","7.2","5.9"
"Feminin","Galati","2017","7.2","5.9","5.3"
"Feminin","Galati","2018","5.9","5.3","6.2"
"Feminin","Galati","2019","5.3","6.2","6.4"
"Feminin","Galati","2020","6.2","6.4","6.1"
"Feminin","Galati","2021","6.4","6.1","undefined"
"Feminin","Galati","2022","6.1","undefined","undefined"
"Feminin","Tulcea","2000","10.7","8.2","8.4"
"Feminin","Tulcea","2001","8.2","8.4","7.2"
"Feminin","Tulcea","2002","8.4","7.2","4.9"
"Feminin","Tulcea","2003","7.2","4.9","4.8"
"Feminin","Tulcea","2004","4.9","4.8","3.7"
"Feminin","Tulcea","2005","4.8","3.7","3.4"
"Feminin","Tulcea","2006","3.7","3.4","4.1"
"Feminin","Tulcea","2007","3.4","4.1","8.4"
"Feminin","Tulcea","2008","4.1","8.4","7.4"
"Feminin","Tulcea","2009","8.4","7.4","5.4"
"Feminin","Tulcea","2010","7.4","5.4","5.3"
"Feminin","Tulcea","2011","5.4","5.3","5.1"
"Feminin","Tulcea","2012","5.3","5.1","4.7"
"Feminin","Tulcea","2013","5.1","4.7","4.7"
"Feminin","Tulcea","2014","4.7","4.7","4.4"
"Feminin","Tulcea","2015","4.7","4.4","3.8"
"Feminin","Tulcea","2016","4.4","3.8","3.4"
"Feminin","Tulcea","2017","3.8","3.4","3.6"
"Feminin","Tulcea","2018","3.4","3.6","3.1"
"Feminin","Tulcea","2019","3.6","3.1","3.3"
"Feminin","Tulcea","2020","3.1","3.3","4.1"
"Feminin","Tulcea","2021","3.3","4.1","undefined"
"Feminin","Tulcea","2022","4.1","undefined","undefined"
"Feminin","Vrancea","2000","4.5","4.6","4.2"
"Feminin","Vrancea","2001","4.6","4.2","4.1"
"Feminin","Vrancea","2002","4.2","4.1","3.1"
"Feminin","Vrancea","2003","4.1","3.1","2.9"
"Feminin","Vrancea","2004","3.1","2.9","2.9"
"Feminin","Vrancea","2005","2.9","2.9","3"
"Feminin","Vrancea","2006","2.9","3","3.7"
"Feminin","Vrancea","2007","3","3.7","5.9"
"Feminin","Vrancea","2008","3.7","5.9","6"
"Feminin","Vrancea","2009","5.9","6","4.8"
"Feminin","Vrancea","2010","6","4.8","4.6"
"Feminin","Vrancea","2011","4.8","4.6","4.8"
"Feminin","Vrancea","2012","4.6","4.8","4.8"
"Feminin","Vrancea","2013","4.8","4.8","4.6"
"Feminin","Vrancea","2014","4.8","4.6","4.9"
"Feminin","Vrancea","2015","4.6","4.9","4.3"
"Feminin","Vrancea","2016","4.9","4.3","3.7"
"Feminin","Vrancea","2017","4.3","3.7","3.3"
"Feminin","Vrancea","2018","3.7","3.3","3.9"
"Feminin","Vrancea","2019","3.3","3.9","4.3"
"Feminin","Vrancea","2020","3.9","4.3","4.1"
"Feminin","Vrancea","2021","4.3","4.1","undefined"
"Feminin","Vrancea","2022","4.1","undefined","undefined"
"Feminin","Arges","2000","6.8","5.9","6.4"
"Feminin","Arges","2001","5.9","6.4","5.8"
"Feminin","Arges","2002","6.4","5.8","6.6"
"Feminin","Arges","2003","5.8","6.6","5"
"Feminin","Arges","2004","6.6","5","5.3"
"Feminin","Arges","2005","5","5.3","4.6"
"Feminin","Arges","2006","5.3","4.6","5.1"
"Feminin","Arges","2007","4.6","5.1","8.8"
"Feminin","Arges","2008","5.1","8.8","7"
"Feminin","Arges","2009","8.8","7","5.2"
"Feminin","Arges","2010","7","5.2","5.6"
"Feminin","Arges","2011","5.2","5.6","6.4"
"Feminin","Arges","2012","5.6","6.4","5.4"
"Feminin","Arges","2013","6.4","5.4","4.5"
"Feminin","Arges","2014","5.4","4.5","4.1"
"Feminin","Arges","2015","4.5","4.1","3.7"
"Feminin","Arges","2016","4.1","3.7","3"
"Feminin","Arges","2017","3.7","3","3"
"Feminin","Arges","2018","3","3","4.1"
"Feminin","Arges","2019","3","4.1","3.9"
"Feminin","Arges","2020","4.1","3.9","3.5"
"Feminin","Arges","2021","3.9","3.5","undefined"
"Feminin","Arges","2022","3.5","undefined","undefined"
"Feminin","Calarasi","2000","8.1","5.7","6.5"
"Feminin","Calarasi","2001","5.7","6.5","5.9"
"Feminin","Calarasi","2002","6.5","5.9","6.3"
"Feminin","Calarasi","2003","5.9","6.3","6.9"
"Feminin","Calarasi","2004","6.3","6.9","5.3"
"Feminin","Calarasi","2005","6.9","5.3","4"
"Feminin","Calarasi","2006","5.3","4","4.3"
"Feminin","Calarasi","2007","4","4.3","6.7"
"Feminin","Calarasi","2008","4.3","6.7","6.8"
"Feminin","Calarasi","2009","6.7","6.8","5.2"
"Feminin","Calarasi","2010","6.8","5.2","5.8"
"Feminin","Calarasi","2011","5.2","5.8","6.4"
"Feminin","Calarasi","2012","5.8","6.4","6.4"
"Feminin","Calarasi","2013","6.4","6.4","6.3"
"Feminin","Calarasi","2014","6.4","6.3","7"
"Feminin","Calarasi","2015","6.3","7","4.5"
"Feminin","Calarasi","2016","7","4.5","3.9"
"Feminin","Calarasi","2017","4.5","3.9","3.5"
"Feminin","Calarasi","2018","3.9","3.5","4.4"
"Feminin","Calarasi","2019","3.5","4.4","4.1"
"Feminin","Calarasi","2020","4.4","4.1","5"
"Feminin","Calarasi","2021","4.1","5","undefined"
"Feminin","Calarasi","2022","5","undefined","undefined"
"Feminin","Dambovita","2000","10.1","8.5","8.2"
"Feminin","Dambovita","2001","8.5","8.2","5.4"
"Feminin","Dambovita","2002","8.2","5.4","6"
"Feminin","Dambovita","2003","5.4","6","6.6"
"Feminin","Dambovita","2004","6","6.6","5.4"
"Feminin","Dambovita","2005","6.6","5.4","5.3"
"Feminin","Dambovita","2006","5.4","5.3","5.9"
"Feminin","Dambovita","2007","5.3","5.9","7.9"
"Feminin","Dambovita","2008","5.9","7.9","8"
"Feminin","Dambovita","2009","7.9","8","6.4"
"Feminin","Dambovita","2010","8","6.4","7.2"
"Feminin","Dambovita","2011","6.4","7.2","7.7"
"Feminin","Dambovita","2012","7.2","7.7","7.5"
"Feminin","Dambovita","2013","7.7","7.5","7.1"
"Feminin","Dambovita","2014","7.5","7.1","7.2"
"Feminin","Dambovita","2015","7.1","7.2","5.8"
"Feminin","Dambovita","2016","7.2","5.8","4.6"
"Feminin","Dambovita","2017","5.8","4.6","3.9"
"Feminin","Dambovita","2018","4.6","3.9","3.8"
"Feminin","Dambovita","2019","3.9","3.8","3.4"
"Feminin","Dambovita","2020","3.8","3.4","3.8"
"Feminin","Dambovita","2021","3.4","3.8","undefined"
"Feminin","Dambovita","2022","3.8","undefined","undefined"
"Feminin","Giurgiu","2000","6.4","5.6","5.6"
"Feminin","Giurgiu","2001","5.6","5.6","6.2"
"Feminin","Giurgiu","2002","5.6","6.2","6.1"
"Feminin","Giurgiu","2003","6.2","6.1","4.6"
"Feminin","Giurgiu","2004","6.1","4.6","4.5"
"Feminin","Giurgiu","2005","4.6","4.5","4.2"
"Feminin","Giurgiu","2006","4.5","4.2","4.8"
"Feminin","Giurgiu","2007","4.2","4.8","6"
"Feminin","Giurgiu","2008","4.8","6","7.2"
"Feminin","Giurgiu","2009","6","7.2","5.3"
"Feminin","Giurgiu","2010","7.2","5.3","5.4"
"Feminin","Giurgiu","2011","5.3","5.4","5.6"
"Feminin","Giurgiu","2012","5.4","5.6","6.9"
"Feminin","Giurgiu","2013","5.6","6.9","6.4"
"Feminin","Giurgiu","2014","6.9","6.4","5.5"
"Feminin","Giurgiu","2015","6.4","5.5","3.2"
"Feminin","Giurgiu","2016","5.5","3.2","2.7"
"Feminin","Giurgiu","2017","3.2","2.7","2.3"
"Feminin","Giurgiu","2018","2.7","2.3","3.1"
"Feminin","Giurgiu","2019","2.3","3.1","3.6"
"Feminin","Giurgiu","2020","3.1","3.6","4.2"
"Feminin","Giurgiu","2021","3.6","4.2","undefined"
"Feminin","Giurgiu","2022","4.2","undefined","undefined"
"Feminin","Ialomita","2000","11","10.5","10.1"
"Feminin","Ialomita","2001","10.5","10.1","10.6"
"Feminin","Ialomita","2002","10.1","10.6","8.9"
"Feminin","Ialomita","2003","10.6","8.9","10.5"
"Feminin","Ialomita","2004","8.9","10.5","7"
"Feminin","Ialomita","2005","10.5","7","6.2"
"Feminin","Ialomita","2006","7","6.2","4.6"
"Feminin","Ialomita","2007","6.2","4.6","9.1"
"Feminin","Ialomita","2008","4.6","9.1","7.7"
"Feminin","Ialomita","2009","9.1","7.7","6.1"
"Feminin","Ialomita","2010","7.7","6.1","6"
"Feminin","Ialomita","2011","6.1","6","6"
"Feminin","Ialomita","2012","6","6","6.3"
"Feminin","Ialomita","2013","6","6.3","6.8"
"Feminin","Ialomita","2014","6.3","6.8","6.5"
"Feminin","Ialomita","2015","6.8","6.5","6.2"
"Feminin","Ialomita","2016","6.5","6.2","5.1"
"Feminin","Ialomita","2017","6.2","5.1","4.3"
"Feminin","Ialomita","2018","5.1","4.3","4.8"
"Feminin","Ialomita","2019","4.3","4.8","5.2"
"Feminin","Ialomita","2020","4.8","5.2","5.4"
"Feminin","Ialomita","2021","5.2","5.4","undefined"
"Feminin","Ialomita","2022","5.4","undefined","undefined"
"Feminin","Prahova","2000","14.3","10.8","10.8"
"Feminin","Prahova","2001","10.8","10.8","9.2"
"Feminin","Prahova","2002","10.8","9.2","6.3"
"Feminin","Prahova","2003","9.2","6.3","5.9"
"Feminin","Prahova","2004","6.3","5.9","5"
"Feminin","Prahova","2005","5.9","5","4.2"
"Feminin","Prahova","2006","5","4.2","4.7"
"Feminin","Prahova","2007","4.2","4.7","8.6"
"Feminin","Prahova","2008","4.7","8.6","8.7"
"Feminin","Prahova","2009","8.6","8.7","5.9"
"Feminin","Prahova","2010","8.7","5.9","5.8"
"Feminin","Prahova","2011","5.9","5.8","5.6"
"Feminin","Prahova","2012","5.8","5.6","5.3"
"Feminin","Prahova","2013","5.6","5.3","4.2"
"Feminin","Prahova","2014","5.3","4.2","4"
"Feminin","Prahova","2015","4.2","4","3.2"
"Feminin","Prahova","2016","4","3.2","3.1"
"Feminin","Prahova","2017","3.2","3.1","2.9"
"Feminin","Prahova","2018","3.1","2.9","3.7"
"Feminin","Prahova","2019","2.9","3.7","2.7"
"Feminin","Prahova","2020","3.7","2.7","2.6"
"Feminin","Prahova","2021","2.7","2.6","undefined"
"Feminin","Prahova","2022","2.6","undefined","undefined"
"Feminin","Teleorman","2000","8.4","7","8.4"
"Feminin","Teleorman","2001","7","8.4","8.2"
"Feminin","Teleorman","2002","8.4","8.2","6.4"
"Feminin","Teleorman","2003","8.2","6.4","6.8"
"Feminin","Teleorman","2004","6.4","6.8","6.3"
"Feminin","Teleorman","2005","6.8","6.3","6.1"
"Feminin","Teleorman","2006","6.3","6.1","7.2"
"Feminin","Teleorman","2007","6.1","7.2","8.9"
"Feminin","Teleorman","2008","7.2","8.9","8.4"
"Feminin","Teleorman","2009","8.9","8.4","7.2"
"Feminin","Teleorman","2010","8.4","7.2","7.4"
"Feminin","Teleorman","2011","7.2","7.4","8.5"
"Feminin","Teleorman","2012","7.4","8.5","8.8"
"Feminin","Teleorman","2013","8.5","8.8","9.3"
"Feminin","Teleorman","2014","8.8","9.3","8.2"
"Feminin","Teleorman","2015","9.3","8.2","7.8"
"Feminin","Teleorman","2016","8.2","7.8","6.5"
"Feminin","Teleorman","2017","7.8","6.5","5.4"
"Feminin","Teleorman","2018","6.5","5.4","5.9"
"Feminin","Teleorman","2019","5.4","5.9","7.1"
"Feminin","Teleorman","2020","5.9","7.1","7.8"
"Feminin","Teleorman","2021","7.1","7.8","undefined"
"Feminin","Teleorman","2022","7.8","undefined","undefined"
"Feminin","Ilfov","2000","6.1","7.3","5.8"
"Feminin","Ilfov","2001","7.3","5.8","6.1"
"Feminin","Ilfov","2002","5.8","6.1","3.9"
"Feminin","Ilfov","2003","6.1","3.9","2"
"Feminin","Ilfov","2004","3.9","2","2"
"Feminin","Ilfov","2005","2","2","1.7"
"Feminin","Ilfov","2006","2","1.7","1.7"
"Feminin","Ilfov","2007","1.7","1.7","2.6"
"Feminin","Ilfov","2008","1.7","2.6","2.8"
"Feminin","Ilfov","2009","2.6","2.8","1.8"
"Feminin","Ilfov","2010","2.8","1.8","2"
"Feminin","Ilfov","2011","1.8","2","2"
"Feminin","Ilfov","2012","2","2","1.7"
"Feminin","Ilfov","2013","2","1.7","1.4"
"Feminin","Ilfov","2014","1.7","1.4","1.1"
"Feminin","Ilfov","2015","1.4","1.1","0.7"
"Feminin","Ilfov","2016","1.1","0.7","0.8"
"Feminin","Ilfov","2017","0.7","0.8","0.5"
"Feminin","Ilfov","2018","0.8","0.5","1"
"Feminin","Ilfov","2019","0.5","1","0.6"
"Feminin","Ilfov","2020","1","0.6","0.6"
"Feminin","Ilfov","2021","0.6","0.6","undefined"
"Feminin","Ilfov","2022","0.6","undefined","undefined"
"Feminin","Bucuresti","2000","6.8","5.2","3.6"
"Feminin","Bucuresti","2001","5.2","3.6","3"
"Feminin","Bucuresti","2002","3.6","3","3.1"
"Feminin","Bucuresti","2003","3","3.1","3"
"Feminin","Bucuresti","2004","3.1","3","2.6"
"Feminin","Bucuresti","2005","3","2.6","2"
"Feminin","Bucuresti","2006","2.6","2","1.9"
"Feminin","Bucuresti","2007","2","1.9","2.5"
"Feminin","Bucuresti","2008","1.9","2.5","2.3"
"Feminin","Bucuresti","2009","2.5","2.3","2.1"
"Feminin","Bucuresti","2010","2.3","2.1","2.2"
"Feminin","Bucuresti","2011","2.1","2.2","2.1"
"Feminin","Bucuresti","2012","2.2","2.1","2.1"
"Feminin","Bucuresti","2013","2.1","2.1","2"
"Feminin","Bucuresti","2014","2.1","2","1.7"
"Feminin","Bucuresti","2015","2","1.7","1.6"
"Feminin","Bucuresti","2016","1.7","1.6","1.4"
"Feminin","Bucuresti","2017","1.6","1.4","1.3"
"Feminin","Bucuresti","2018","1.4","1.3","1.3"
"Feminin","Bucuresti","2019","1.3","1.3","1.2"
"Feminin","Bucuresti","2020","1.3","1.2","1"
"Feminin","Bucuresti","2021","1.2","1","undefined"
"Feminin","Bucuresti","2022","1","undefined","undefined"
"Feminin","Dolj","2000","11.2","9.9","6.5"
"Feminin","Dolj","2001","9.9","6.5","7.5"
"Feminin","Dolj","2002","6.5","7.5","5"
"Feminin","Dolj","2003","7.5","5","5"
"Feminin","Dolj","2004","5","5","5.8"
"Feminin","Dolj","2005","5","5.8","4.9"
"Feminin","Dolj","2006","5.8","4.9","7.7"
"Feminin","Dolj","2007","4.9","7.7","10"
"Feminin","Dolj","2008","7.7","10","8.8"
"Feminin","Dolj","2009","10","8.8","8"
"Feminin","Dolj","2010","8.8","8","8.3"
"Feminin","Dolj","2011","8","8.3","8.6"
"Feminin","Dolj","2012","8.3","8.6","8.2"
"Feminin","Dolj","2013","8.6","8.2","8.7"
"Feminin","Dolj","2014","8.2","8.7","8.5"
"Feminin","Dolj","2015","8.7","8.5","7.9"
"Feminin","Dolj","2016","8.5","7.9","6.8"
"Feminin","Dolj","2017","7.9","6.8","6.2"
"Feminin","Dolj","2018","6.8","6.2","6.8"
"Feminin","Dolj","2019","6.2","6.8","6.6"
"Feminin","Dolj","2020","6.8","6.6","7.2"
"Feminin","Dolj","2021","6.6","7.2","undefined"
"Feminin","Dolj","2022","7.2","undefined","undefined"
"Feminin","Gorj","2000","12.6","10.5","11.5"
"Feminin","Gorj","2001","10.5","11.5","8.7"
"Feminin","Gorj","2002","11.5","8.7","7.3"
"Feminin","Gorj","2003","8.7","7.3","8.6"
"Feminin","Gorj","2004","7.3","8.6","8"
"Feminin","Gorj","2005","8.6","8","6"
"Feminin","Gorj","2006","8","6","7.9"
"Feminin","Gorj","2007","6","7.9","10.5"
"Feminin","Gorj","2008","7.9","10.5","10.2"
"Feminin","Gorj","2009","10.5","10.2","7.8"
"Feminin","Gorj","2010","10.2","7.8","7.5"
"Feminin","Gorj","2011","7.8","7.5","7.8"
"Feminin","Gorj","2012","7.5","7.8","7.1"
"Feminin","Gorj","2013","7.8","7.1","7.2"
"Feminin","Gorj","2014","7.1","7.2","6.5"
"Feminin","Gorj","2015","7.2","6.5","6"
"Feminin","Gorj","2016","6.5","6","4.3"
"Feminin","Gorj","2017","6","4.3","3.6"
"Feminin","Gorj","2018","4.3","3.6","3.8"
"Feminin","Gorj","2019","3.6","3.8","3.7"
"Feminin","Gorj","2020","3.8","3.7","3.8"
"Feminin","Gorj","2021","3.7","3.8","undefined"
"Feminin","Gorj","2022","3.8","undefined","undefined"
"Feminin","Mehedinti","2000","8.8","7.5","7.6"
"Feminin","Mehedinti","2001","7.5","7.6","7.4"
"Feminin","Mehedinti","2002","7.6","7.4","8.4"
"Feminin","Mehedinti","2003","7.4","8.4","7.5"
"Feminin","Mehedinti","2004","8.4","7.5","7.6"
"Feminin","Mehedinti","2005","7.5","7.6","7.2"
"Feminin","Mehedinti","2006","7.6","7.2","8.6"
"Feminin","Mehedinti","2007","7.2","8.6","12"
"Feminin","Mehedinti","2008","8.6","12","8.7"
"Feminin","Mehedinti","2009","12","8.7","8.4"
"Feminin","Mehedinti","2010","8.7","8.4","7.7"
"Feminin","Mehedinti","2011","8.4","7.7","8.5"
"Feminin","Mehedinti","2012","7.7","8.5","8.5"
"Feminin","Mehedinti","2013","8.5","8.5","9"
"Feminin","Mehedinti","2014","8.5","9","8.6"
"Feminin","Mehedinti","2015","9","8.6","8"
"Feminin","Mehedinti","2016","8.6","8","7"
"Feminin","Mehedinti","2017","8","7","6.3"
"Feminin","Mehedinti","2018","7","6.3","6.2"
"Feminin","Mehedinti","2019","6.3","6.2","6.6"
"Feminin","Mehedinti","2020","6.2","6.6","6.5"
"Feminin","Mehedinti","2021","6.6","6.5","undefined"
"Feminin","Mehedinti","2022","6.5","undefined","undefined"
"Feminin","Olt","2000","8.1","5.8","7.8"
"Feminin","Olt","2001","5.8","7.8","8"
"Feminin","Olt","2002","7.8","8","5.8"
"Feminin","Olt","2003","8","5.8","5.5"
"Feminin","Olt","2004","5.8","5.5","5.1"
"Feminin","Olt","2005","5.5","5.1","4.2"
"Feminin","Olt","2006","5.1","4.2","4.9"
"Feminin","Olt","2007","4.2","4.9","6.8"
"Feminin","Olt","2008","4.9","6.8","6.6"
"Feminin","Olt","2009","6.8","6.6","5.8"
"Feminin","Olt","2010","6.6","5.8","6.3"
"Feminin","Olt","2011","5.8","6.3","6.4"
"Feminin","Olt","2012","6.3","6.4","6.6"
"Feminin","Olt","2013","6.4","6.6","6.7"
"Feminin","Olt","2014","6.6","6.7","8"
"Feminin","Olt","2015","6.7","8","6.8"
"Feminin","Olt","2016","8","6.8","5.6"
"Feminin","Olt","2017","6.8","5.6","5.2"
"Feminin","Olt","2018","5.6","5.2","5.9"
"Feminin","Olt","2019","5.2","5.9","6.1"
"Feminin","Olt","2020","5.9","6.1","6.5"
"Feminin","Olt","2021","6.1","6.5","undefined"
"Feminin","Olt","2022","6.5","undefined","undefined"
"Feminin","Valcea","2000","12.7","12.5","11.2"
"Feminin","Valcea","2001","12.5","11.2","8.4"
"Feminin","Valcea","2002","11.2","8.4","7.2"
"Feminin","Valcea","2003","8.4","7.2","6.5"
"Feminin","Valcea","2004","7.2","6.5","4.8"
"Feminin","Valcea","2005","6.5","4.8","3.8"
"Feminin","Valcea","2006","4.8","3.8","5.3"
"Feminin","Valcea","2007","3.8","5.3","7.6"
"Feminin","Valcea","2008","5.3","7.6","7.6"
"Feminin","Valcea","2009","7.6","7.6","5.3"
"Feminin","Valcea","2010","7.6","5.3","5.8"
"Feminin","Valcea","2011","5.3","5.8","6.7"
"Feminin","Valcea","2012","5.8","6.7","5.5"
"Feminin","Valcea","2013","6.7","5.5","4.6"
"Feminin","Valcea","2014","5.5","4.6","5.1"
"Feminin","Valcea","2015","4.6","5.1","4.5"
"Feminin","Valcea","2016","5.1","4.5","3.3"
"Feminin","Valcea","2017","4.5","3.3","3.1"
"Feminin","Valcea","2018","3.3","3.1","4"
"Feminin","Valcea","2019","3.1","4","4"
"Feminin","Valcea","2020","4","4","3.8"
"Feminin","Valcea","2021","4","3.8","undefined"
"Feminin","Valcea","2022","3.8","undefined","undefined"
"Feminin","Arad","2000","7.4","5.8","5.2"
"Feminin","Arad","2001","5.8","5.2","4.4"
"Feminin","Arad","2002","5.2","4.4","3.3"
"Feminin","Arad","2003","4.4","3.3","3.1"
"Feminin","Arad","2004","3.3","3.1","2.9"
"Feminin","Arad","2005","3.1","2.9","2.4"
"Feminin","Arad","2006","2.9","2.4","3.3"
"Feminin","Arad","2007","2.4","3.3","6.5"
"Feminin","Arad","2008","3.3","6.5","4.9"
"Feminin","Arad","2009","6.5","4.9","3.3"
"Feminin","Arad","2010","4.9","3.3","3.5"
"Feminin","Arad","2011","3.3","3.5","3.2"
"Feminin","Arad","2012","3.5","3.2","2.8"
"Feminin","Arad","2013","3.2","2.8","2.6"
"Feminin","Arad","2014","2.8","2.6","2.3"
"Feminin","Arad","2015","2.6","2.3","1.6"
"Feminin","Arad","2016","2.3","1.6","1.5"
"Feminin","Arad","2017","1.6","1.5","1.4"
"Feminin","Arad","2018","1.5","1.4","2.7"
"Feminin","Arad","2019","1.4","2.7","1.9"
"Feminin","Arad","2020","2.7","1.9","1.3"
"Feminin","Arad","2021","1.9","1.3","undefined"
"Feminin","Arad","2022","1.3","undefined","undefined"
"Feminin","Caras-Severin","2000","10.8","12.3","9.5"
"Feminin","Caras-Severin","2001","12.3","9.5","9"
"Feminin","Caras-Severin","2002","9.5","9","8"
"Feminin","Caras-Severin","2003","9","8","7.1"
"Feminin","Caras-Severin","2004","8","7.1","5.9"
"Feminin","Caras-Severin","2005","7.1","5.9","6.4"
"Feminin","Caras-Severin","2006","5.9","6.4","6"
"Feminin","Caras-Severin","2007","6.4","6","9.7"
"Feminin","Caras-Severin","2008","6","9.7","8.7"
"Feminin","Caras-Severin","2009","9.7","8.7","5.7"
"Feminin","Caras-Severin","2010","8.7","5.7","5.2"
"Feminin","Caras-Severin","2011","5.7","5.2","5.2"
"Feminin","Caras-Severin","2012","5.2","5.2","4.2"
"Feminin","Caras-Severin","2013","5.2","4.2","3.9"
"Feminin","Caras-Severin","2014","4.2","3.9","2.1"
"Feminin","Caras-Severin","2015","3.9","2.1","3.5"
"Feminin","Caras-Severin","2016","2.1","3.5","3.4"
"Feminin","Caras-Severin","2017","3.5","3.4","3.2"
"Feminin","Caras-Severin","2018","3.4","3.2","3.7"
"Feminin","Caras-Severin","2019","3.2","3.7","3"
"Feminin","Caras-Severin","2020","3.7","3","2.8"
"Feminin","Caras-Severin","2021","3","2.8","undefined"
"Feminin","Caras-Severin","2022","2.8","undefined","undefined"
"Feminin","Hunedoara","2000","17.5","16","10.5"
"Feminin","Hunedoara","2001","16","10.5","11.7"
"Feminin","Hunedoara","2002","10.5","11.7","10.4"
"Feminin","Hunedoara","2003","11.7","10.4","9.4"
"Feminin","Hunedoara","2004","10.4","9.4","6.5"
"Feminin","Hunedoara","2005","9.4","6.5","5.4"
"Feminin","Hunedoara","2006","6.5","5.4","7.8"
"Feminin","Hunedoara","2007","5.4","7.8","11"
"Feminin","Hunedoara","2008","7.8","11","8.1"
"Feminin","Hunedoara","2009","11","8.1","5.8"
"Feminin","Hunedoara","2010","8.1","5.8","6.7"
"Feminin","Hunedoara","2011","5.8","6.7","7.6"
"Feminin","Hunedoara","2012","6.7","7.6","6.9"
"Feminin","Hunedoara","2013","7.6","6.9","6.3"
"Feminin","Hunedoara","2014","6.9","6.3","6.5"
"Feminin","Hunedoara","2015","6.3","6.5","4.6"
"Feminin","Hunedoara","2016","6.5","4.6","3.8"
