?"Categoria","Kateg?ria","Category","Year","Value"
"Industria Prelucr?toare","Feldolgoz?ipar","Manufacturing Industry","2018","3163"
"Industria Prelucr?toare","Feldolgoz?ipar","Manufacturing Industry","2019","3167"
"Industria Prelucr?toare","Feldolgoz?ipar","Manufacturing Industry","2020","3191"
"Industria Prelucr?toare","Feldolgoz?ipar","Manufacturing Industry","2021","3244"
"Industria Prelucr?toare","Feldolgoz?ipar","Manufacturing Industry","2022","3380"
"Industria Prelucr?toare","Feldolgoz?ipar","Manufacturing Industry","2023","3490"
"Industria Prelucr?toare","Feldolgoz?ipar","Manufacturing Industry","2013","3322"
"Industria Prelucr?toare","Feldolgoz?ipar","Manufacturing Industry","2014","2708"
"Industria Prelucr?toare","Feldolgoz?ipar","Manufacturing Industry","2015","3309"
"Industria Prelucr?toare","Feldolgoz?ipar","Manufacturing Industry","2016","4684"
"Industria Prelucr?toare","Feldolgoz?ipar","Manufacturing Industry","2017","5626"
"Industria Prelucr?toare","Feldolgoz?ipar","Manufacturing Industry","2018","5441"
"Industria Prelucr?toare","Feldolgoz?ipar","Manufacturing Industry","2019","5732"
"Industria Prelucr?toare","Feldolgoz?ipar","Manufacturing Industry","2020","6088"
"Industria Prelucr?toare","Feldolgoz?ipar","Manufacturing Industry","2021","6736"
"Industria Prelucr?toare","Feldolgoz?ipar","Manufacturing Industry","2022","7213"
"Industria Prelucr?toare","Feldolgoz?ipar","Manufacturing Industry","2023","7820"
"Industria Prelucr?toare","Feldolgoz?ipar","Manufacturing Industry","2013","3687"
"Industria Prelucr?toare","Feldolgoz?ipar","Manufacturing Industry","2014","3679"
"Industria Prelucr?toare","Feldolgoz?ipar","Manufacturing Industry","2015","3882"
"Industria Prelucr?toare","Feldolgoz?ipar","Manufacturing Industry","2016","4530"
"Industria Prelucr?toare","Feldolgoz?ipar","Manufacturing Industry","2017","4884"
"Industria Prelucr?toare","Feldolgoz?ipar","Manufacturing Industry","2018","5175"
"Industria Prelucr?toare","Feldolgoz?ipar","Manufacturing Industry","2019","5217"
"Industria Prelucr?toare","Feldolgoz?ipar","Manufacturing Industry","2020","5136"
"Industria Prelucr?toare","Feldolgoz?ipar","Manufacturing Industry","2021","6993"
"Industria Prelucr?toare","Feldolgoz?ipar","Manufacturing Industry","2022","6867"
"Industria Prelucr?toare","Feldolgoz?ipar","Manufacturing Industry","2023","7311"
"Industria Prelucr?toare","Feldolgoz?ipar","Manufacturing Industry","2013","793"
"Industria Prelucr?toare","Feldolgoz?ipar","Manufacturing Industry","2014","919"
"Industria Prelucr?toare","Feldolgoz?ipar","Manufacturing Industry","2015","999"
"Industria Prelucr?toare","Feldolgoz?ipar","Manufacturing Industry","2016","1037"
"Industria Prelucr?toare","Feldolgoz?ipar","Manufacturing Industry","2017","1068"
"Industria Prelucr?toare","Feldolgoz?ipar","Manufacturing Industry","2018","1018"
"Industria Prelucr?toare","Feldolgoz?ipar","Manufacturing Industry","2019","1016"
"Industria Prelucr?toare","Feldolgoz?ipar","Manufacturing Industry","2020","989"
"Industria Prelucr?toare","Feldolgoz?ipar","Manufacturing Industry","2021","978"
"Industria Prelucr?toare","Feldolgoz?ipar","Manufacturing Industry","2022","971"
"Industria Prelucr?toare","Feldolgoz?ipar","Manufacturing Industry","2023","1018"
"Industria Prelucr?toare","Feldolgoz?ipar","Manufacturing Industry","2013","491"
"Industria Prelucr?toare","Feldolgoz?ipar","Manufacturing Industry","2014","555"
"Industria Prelucr?toare","Feldolgoz?ipar","Manufacturing Industry","2015","582"
"Industria Prelucr?toare","Feldolgoz?ipar","Manufacturing Industry","2016","757"
"Industria Prelucr?toare","Feldolgoz?ipar","Manufacturing Industry","2017","671"
"Industria Prelucr?toare","Feldolgoz?ipar","Manufacturing Industry","2018","886"
"Industria Prelucr?toare","Feldolgoz?ipar","Manufacturing Industry","2019","900"
"Industria Prelucr?toare","Feldolgoz?ipar","Manufacturing Industry","2020","987"
"Industria Prelucr?toare","Feldolgoz?ipar","Manufacturing Industry","2021","1064"
"Industria Prelucr?toare","Feldolgoz?ipar","Manufacturing Industry","2022","1199"
"Industria Prelucr?toare","Feldolgoz?ipar","Manufacturing Industry","2023","1288"
"Energie Electric?, Gaze ?i Ap?","Villamos Energia, G?z ?s V?z","Electricity, Gas, And Water","2013","6881"
"Energie Electric?, Gaze ?i Ap?","Villamos Energia, G?z ?s V?z","Electricity, Gas, And Water","2014","7195"
"Energie Electric?, Gaze ?i Ap?","Villamos Energia, G?z ?s V?z","Electricity, Gas, And Water","2015","6561"
"Energie Electric?, Gaze ?i Ap?","Villamos Energia, G?z ?s V?z","Electricity, Gas, And Water","2016","6788"
"Energie Electric?, Gaze ?i Ap?","Villamos Energia, G?z ?s V?z","Electricity, Gas, And Water","2017","6451"
"Energie Electric?, Gaze ?i Ap?","Villamos Energia, G?z ?s V?z","Electricity, Gas, And Water","2018","6006"
"Energie Electric?, Gaze ?i Ap?","Villamos Energia, G?z ?s V?z","Electricity, Gas, And Water","2019","6131"
"Energie Electric?, Gaze ?i Ap?","Villamos Energia, G?z ?s V?z","Electricity, Gas, And Water","2020","5845"
"Energie Electric?, Gaze ?i Ap?","Villamos Energia, G?z ?s V?z","Electricity, Gas, And Water","2021","4928"
"Energie Electric?, Gaze ?i Ap?","Villamos Energia, G?z ?s V?z","Electricity, Gas, And Water","2022","5651"
"Energie Electric?, Gaze ?i Ap?","Villamos Energia, G?z ?s V?z","Electricity, Gas, And Water","2023","6289"
"Activit??i Profesionale, ?tiin?ifice, Tehnice ?i Administrative ?i Servicii Suport","Szakmai, Tudom?nyos, M?szaki ?s Adminisztrat?v Tev?kenys?gek ?s T?mogat? Szolg?ltat?sok","Professional, Scientific, Technical, And Administrative Activities And Support Services","2013","2999"
"Activit??i Profesionale, ?tiin?ifice, Tehnice ?i Administrative ?i Servicii Suport","Szakmai, Tudom?nyos, M?szaki ?s Adminisztrat?v Tev?kenys?gek ?s T?mogat? Szolg?ltat?sok","Professional, Scientific, Technical, And Administrative Activities And Support Services","2014","3180"
"Activit??i Profesionale, ?tiin?ifice, Tehnice ?i Administrative ?i Servicii Suport","Szakmai, Tudom?nyos, M?szaki ?s Adminisztrat?v Tev?kenys?gek ?s T?mogat? Szolg?ltat?sok","Professional, Scientific, Technical, And Administrative Activities And Support Services","2015","4133"
"Activit??i Profesionale, ?tiin?ifice, Tehnice ?i Administrative ?i Servicii Suport","Szakmai, Tudom?nyos, M?szaki ?s Adminisztrat?v Tev?kenys?gek ?s T?mogat? Szolg?ltat?sok","Professional, Scientific, Technical, And Administrative Activities And Support Services","2016","3984"
"Activit??i Profesionale, ?tiin?ifice, Tehnice ?i Administrative ?i Servicii Suport","Szakmai, Tudom?nyos, M?szaki ?s Adminisztrat?v Tev?kenys?gek ?s T?mogat? Szolg?ltat?sok","Professional, Scientific, Technical, And Administrative Activities And Support Services","2017","4088"
"Activit??i Profesionale, ?tiin?ifice, Tehnice ?i Administrative ?i Servicii Suport","Szakmai, Tudom?nyos, M?szaki ?s Adminisztrat?v Tev?kenys?gek ?s T?mogat? Szolg?ltat?sok","Professional, Scientific, Technical, And Administrative Activities And Support Services","2018","3991"
"Activit??i Profesionale, ?tiin?ifice, Tehnice ?i Administrative ?i Servicii Suport","Szakmai, Tudom?nyos, M?szaki ?s Adminisztrat?v Tev?kenys?gek ?s T?mogat? Szolg?ltat?sok","Professional, Scientific, Technical, And Administrative Activities And Support Services","2019","4386"
"Activit??i Profesionale, ?tiin?ifice, Tehnice ?i Administrative ?i Servicii Suport","Szakmai, Tudom?nyos, M?szaki ?s Adminisztrat?v Tev?kenys?gek ?s T?mogat? Szolg?ltat?sok","Professional, Scientific, Technical, And Administrative Activities And Support Services","2020","4183"
"Activit??i Profesionale, ?tiin?ifice, Tehnice ?i Administrative ?i Servicii Suport","Szakmai, Tudom?nyos, M?szaki ?s Adminisztrat?v Tev?kenys?gek ?s T?mogat? Szolg?ltat?sok","Professional, Scientific, Technical, And Administrative Activities And Support Services","2021","4040"
"Activit??i Profesionale, ?tiin?ifice, Tehnice ?i Administrative ?i Servicii Suport","Szakmai, Tudom?nyos, M?szaki ?s Adminisztrat?v Tev?kenys?gek ?s T?mogat? Szolg?ltat?sok","Professional, Scientific, Technical, And Administrative Activities And Support Services","2022","4322"
"Activit??i Profesionale, ?tiin?ifice, Tehnice ?i Administrative ?i Servicii Suport","Szakmai, Tudom?nyos, M?szaki ?s Adminisztrat?v Tev?kenys?gek ?s T?mogat? Szolg?ltat?sok","Professional, Scientific, Technical, And Administrative Activities And Support Services","2023","5131"
"Agricultur?, Silvicultur? ?i Pescuit","Mez?gazdas?g, Erd?szet ?s Hal?szat","Agriculture, Forestry, And Fishing","2013","1335"
"Agricultur?, Silvicultur? ?i Pescuit","Mez?gazdas?g, Erd?szet ?s Hal?szat","Agriculture, Forestry, And Fishing","2014","1623"
"Agricultur?, Silvicultur? ?i Pescuit","Mez?gazdas?g, Erd?szet ?s Hal?szat","Agriculture, Forestry, And Fishing","2015","1709"
"Agricultur?, Silvicultur? ?i Pescuit","Mez?gazdas?g, Erd?szet ?s Hal?szat","Agriculture, Forestry, And Fishing","2016","1864"
"Agricultur?, Silvicultur? ?i Pescuit","Mez?gazdas?g, Erd?szet ?s Hal?szat","Agriculture, Forestry, And Fishing","2017","2272"
"Agricultur?, Silvicultur? ?i Pescuit","Mez?gazdas?g, Erd?szet ?s Hal?szat","Agriculture, Forestry, And Fishing","2018","2406"
"Agricultur?, Silvicultur? ?i Pescuit","Mez?gazdas?g, Erd?szet ?s Hal?szat","Agriculture, Forestry, And Fishing","2019","2637"
"Agricultur?, Silvicultur? ?i Pescuit","Mez?gazdas?g, Erd?szet ?s Hal?szat","Agriculture, Forestry, And Fishing","2020","2621"
"Agricultur?, Silvicultur? ?i Pescuit","Mez?gazdas?g, Erd?szet ?s Hal?szat","Agriculture, Forestry, And Fishing","2021","2215"
"Agricultur?, Silvicultur? ?i Pescuit","Mez?gazdas?g, Erd?szet ?s Hal?szat","Agriculture, Forestry, And Fishing","2022","1986"
"Agricultur?, Silvicultur? ?i Pescuit","Mez?gazdas?g, Erd?szet ?s Hal?szat","Agriculture, Forestry, And Fishing","2023","2227"
"Comer?","Kereskedelem","Trade","2013","6405"
"Comer?","Kereskedelem","Trade","2014","6685"
"Comer?","Kereskedelem","Trade","2015","7441"
